,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
9254,To renovate,2,112  m² square meters,Semi equipped,2,1,,93  m²  square meters,,"€ 107,000  107000 €",,,
9255,To renovate,4,135  m² square meters,Semi equipped,4,1,No,1300  m²  square meters,850  m²  square meters,"€ 259,000  259000 €",,Grand Liège,
9256,Good,4,190  m² square meters,USA installed,2,1,No,786  m²  square meters,,"€ 365,000  365000 €",,,Yes
9257,,4,603  m² square meters,Installed,8,5,,2512  m²  square meters,,"€ 1,765,000  1765000 €",Yes,,Yes
9258,As new,4,322  m² square meters,,4,2,,2363  m²  square meters,,"€ 648,000  648000 €",Yes,,
9259,Good,4,410  m² square meters,Semi equipped,4,2,,607  m²  square meters,,"€ 598,000  598000 €",,,Yes
9261,Just renovated,3,204  m² square meters,Not installed,4,1,,210  m²  square meters,,"€ 340,000  340000 €",,,
9262,As new,1,135  m² square meters,Installed,2,1,,39  m²  square meters,,"€ 390,000  390000 €",No,,
9263,To restore,4,300  m² square meters,,4,,,5100  m²  square meters,5100  m²  square meters,"€ 700,000  700000 €",,,
9264,As new,2,181  m² square meters,USA hyper equipped,4,1,No,333  m²  square meters,,"€ 495,000  495000 €",,,Yes
9265,,3,130  m² square meters,Semi equipped,4,,No,728  m²  square meters,,"€ 275,000  275000 €",,,
9266,Good,,330  m² square meters,,4,2,No,1036  m²  square meters,,"€ 1,295,000  1295000 €",No,,Yes
9267,As new,,144  m² square meters,Hyper equipped,3,,No,111  m²  square meters,,"€ 295,000  295000 €",,,Yes
9268,Good,4,341  m² square meters,,3,2,,2116  m²  square meters,,"€ 945,000  945000 €",,,
9269,As new,2,,Installed,3,1,No,121  m²  square meters,35  m²  square meters,"€ 375,000  375000 €",,Brugse Steenweg,
9270,Good,4,226  m² square meters,USA hyper equipped,3,1,No,1238  m²  square meters,,"€ 479,000  479000 €",Yes,Oost- Vlaanderen,Yes
9271,Good,2,400  m² square meters,Installed,6,2,No,380  m²  square meters,,"€ 1,295,000  1295000 €",,,
9273,To be done up,2,495  m² square meters,USA hyper equipped,5,3,No,340  m²  square meters,230  m²  square meters,"€ 1,358,000  1358000 €",No,,
9274,To renovate,4,182  m² square meters,Installed,3,1,No,704  m²  square meters,,"€ 265,000  265000 €",,,
9275,,2,160  m² square meters,Semi equipped,2,1,,90  m²  square meters,,"€ 185,000  185000 €",,,Yes
9276,,2,210  m² square meters,Installed,4,2,,388  m²  square meters,,"€ 345,000  345000 €",,,Yes
9277,To be done up,2,159  m² square meters,,3,1,,154  m²  square meters,,"€ 150,000  150000 €",,,
9278,Good,3,158  m² square meters,Installed,3,1,,280  m²  square meters,,"€ 385,000  385000 €",,,Yes
9279,As new,3,220  m² square meters,Installed,4,1,,4385  m²  square meters,3500  m²  square meters,"€ 690,000  690000 €",,,
9280,To be done up,2,160  m² square meters,,5,1,No,140  m²  square meters,,"€ 119,500  119500 €",No,,
9281,To renovate,,642  m² square meters,,5,3,No,,,"€ 2,100,000  2100000 €",No,,
9282,To renovate,,156  m² square meters,Semi equipped,2,,No,63  m²  square meters,,"€ 139,000  139000 €",,,
9283,Good,4,330  m² square meters,USA hyper equipped,5,3,No,2700  m²  square meters,2700  m²  square meters,"€ 1,200,000  1200000 €",Yes,,
9284,Good,2,185  m² square meters,Installed,2,2,No,83  m²  square meters,,"€ 549,000  549000 €",,Bruxelles,
9285,To be done up,2,150  m² square meters,,3,1,,100  m²  square meters,,"Make an offer starting from  € 299,900  Make an offer starting from  299900 €",,,
9286,Good,,230  m² square meters,Installed,6,,No,220  m²  square meters,,"€ 285,000  285000 €",,,Yes
9287,As new,,282  m² square meters,Installed,4,2,No,2041  m²  square meters,,"€ 845,000  845000 €",Yes,,
9288,As new,,378  m² square meters,Hyper equipped,4,,No,126  m²  square meters,,"€ 440,000  440000 €",,,
9289,As new,,197  m² square meters,Semi equipped,6,1,,248  m²  square meters,,"€ 319,000  319000 €",No,,Yes
9290,As new,2,251  m² square meters,Installed,4,2,No,,,"€ 435,000  435000 €",,Liège,
9291,Good,3,187  m² square meters,Hyper equipped,3,2,No,800  m²  square meters,,"€ 339,000  339000 €",No,"Aywaille, Awan, Harzé, Remou",Yes
9292,Good,3,155  m² square meters,,3,1,,687  m²  square meters,,"€ 425,706  425706 €",,,
9293,Good,2,217  m² square meters,Installed,3,1,,255  m²  square meters,,"€ 549,000  549000 €",,,
9294,As new,,320  m² square meters,Installed,5,1,No,1228  m²  square meters,,"€ 645,000  645000 €",,,
9295,Good,2,108  m² square meters,,2,1,,202  m²  square meters,125  m²  square meters,"Make an offer starting from  € 119,000  Make an offer starting from  119000 €",,,
9296,As new,2,250  m² square meters,USA hyper equipped,5,4,No,160  m²  square meters,60  m²  square meters,"€ 1,395,000  1395000 €",No,,
9297,,2,220  m² square meters,Installed,5,1,,350  m²  square meters,150  m²  square meters,"Make an offer starting from  € 395,000  Make an offer starting from  395000 €",,,
9298,As new,4,264  m² square meters,USA hyper equipped,5,2,No,1700  m²  square meters,1700  m²  square meters,"€ 949,000  949000 €",Yes,,
9299,Good,4,120  m² square meters,Installed,3,1,,1000  m²  square meters,12  m²  square meters,"€ 450,000  450000 €",No,,
9300,To renovate,2,155  m² square meters,Semi equipped,3,1,No,228  m²  square meters,115  m²  square meters,"€ 235,000  235000 €",No,9120 Beveren met deelgemeenten,
9301,Good,4,275  m² square meters,,3,1,,800  m²  square meters,,"€ 535,000  535000 €",,,Yes
9302,As new,4,240  m² square meters,Not installed,4,2,,680  m²  square meters,,"€ 420,000  420000 €",,,
9303,To renovate,2,200  m² square meters,Semi equipped,3,1,,340  m²  square meters,,"€ 185,000  185000 €",,,Yes
9304,Good,3,291  m² square meters,,6,3,,197  m²  square meters,,"€ 695,000  695000 €",,,
9305,Good,3,100  m² square meters,Installed,2,1,,305  m²  square meters,,"€ 259,000  259000 €",,,Yes
9306,,,163  m² square meters,Installed,3,1,No,405  m²  square meters,405  m²  square meters,"€ 382,484  382484 €",,,
9307,Good,,164  m² square meters,Hyper equipped,4,,No,119  m²  square meters,24  m²  square meters,"€ 229,000  229000 €",,,
9308,To renovate,3,129  m² square meters,Not installed,2,1,No,56  m²  square meters,,"Make an offer starting from  € 114,900  Make an offer starting from  114900 €",No,Wallonne,
9309,As new,2,135  m² square meters,,3,1,No,110  m²  square meters,40  m²  square meters,"€ 489,000  489000 €",No,,
9310,Good,2,270  m² square meters,Semi equipped,4,4,,135  m²  square meters,50  m²  square meters,"€ 535,000  535000 €",No,,
9311,Good,3,275  m² square meters,Installed,4,,No,438  m²  square meters,,"€ 139,500  139500 €",,,Yes
9312,To renovate,2,129  m² square meters,Not installed,3,1,,80  m²  square meters,,"€ 130,000  130000 €",No,,
9313,Good,4,273  m² square meters,Hyper equipped,5,2,No,1457  m²  square meters,,"€ 649,000  649000 €",,,Yes
9314,To restore,2,1070  m² square meters,,1,,No,374  m²  square meters,,"€ 550,000  550000 €",,,
9315,Good,4,260  m² square meters,Installed,3,1,,973  m²  square meters,500  m²  square meters,"€ 419,000  419000 €",No,,
9316,Just renovated,4,,Installed,4,1,,711  m²  square meters,,"€ 549,000  549000 €",,,Yes
9317,As new,,407  m² square meters,Installed,4,,No,1928  m²  square meters,,"€ 668,000  668000 €",,,Yes
9318,To renovate,2,122  m² square meters,Not installed,3,1,,95  m²  square meters,,"€ 80,000  80000 €",,,
9319,Good,4,462  m² square meters,,4,2,No,1362  m²  square meters,,"€ 538,000  538000 €",No,,Yes
9320,Good,3,202  m² square meters,Installed,4,1,No,223  m²  square meters,92  m²  square meters,"€ 215,000  215000 €",No,HERSTAL,
9321,,2,148  m² square meters,,3,1,No,159  m²  square meters,85  m²  square meters,"€ 349,200  349200 €",,,
9322,Good,2,119  m² square meters,Installed,2,1,No,75  m²  square meters,,"€ 219,000  219000 €",,,
9323,,4,,Installed,3,1,,750  m²  square meters,,"€ 450,704  450704 €",,,
9324,As new,2,151  m² square meters,Hyper equipped,3,,No,84  m²  square meters,,"€ 320,000  320000 €",,,Yes
9325,To be done up,4,510  m² square meters,,4,3,,1806  m²  square meters,,"€ 610,000  610000 €",,,Yes
9326,Good,3,181  m² square meters,Installed,4,,No,727  m²  square meters,,"€ 299,000  299000 €",,,
9327,As new,2,175  m² square meters,Installed,2,1,,70  m²  square meters,,"€ 295,000  295000 €",,,
9328,Good,3,330  m² square meters,,5,,No,1027  m²  square meters,,"€ 499,000  499000 €",,,Yes
9329,As new,,202  m² square meters,USA hyper equipped,4,1,No,107  m²  square meters,,"€ 285,000  285000 €",,,Yes
9330,,3,98  m² square meters,,3,1,Yes,459  m²  square meters,,"€ 159,000  159000 €",,,
9331,To be done up,3,160  m² square meters,USA installed,4,1,No,114  m²  square meters,,"€ 215,000  215000 €",No,,
9332,Good,4,232  m² square meters,Installed,4,1,No,8000  m²  square meters,7500  m²  square meters,"€ 748,000  748000 €",,,Yes
9333,To be done up,2,283  m² square meters,Installed,6,2,No,95  m²  square meters,,"€ 775,000  775000 €",,Est de Bruxelles + VL,
9334,Good,4,157  m² square meters,Installed,3,1,,1025  m²  square meters,,"€ 570,000  570000 €",,,
9335,Good,,80  m² square meters,Installed,2,,Yes,,,"€ 119,000  119000 €",Yes,,
9336,As new,2,289  m² square meters,Installed,4,1,,421  m²  square meters,267  m²  square meters,"€ 399,000  399000 €",No,,
9337,As new,2,520  m² square meters,,7,2,No,670  m²  square meters,,"€ 595,000  595000 €",No,,Yes
9338,,4,240  m² square meters,Not installed,4,2,,267  m²  square meters,,"€ 427,000  427000 €",,,Yes
9339,,,150  m² square meters,,3,1,,590  m²  square meters,,"€ 229,000  229000 €",,,
9342,To be done up,2,825  m² square meters,,8,4,,538  m²  square meters,,"€ 1,197,000  1197000 €",,,
9343,To be done up,3,235  m² square meters,Installed,4,1,No,492  m²  square meters,352  m²  square meters,"Make an offer starting from  € 285,000  Make an offer starting from  285000 €",,,
9344,Good,4,170  m² square meters,Installed,4,2,No,1756  m²  square meters,1659  m²  square meters,"Make an offer starting from  € 595,000  Make an offer starting from  595000 €",No,Brabant Wallon,
9345,As new,4,454  m² square meters,USA hyper equipped,5,5,No,1791  m²  square meters,1000  m²  square meters,"€ 1,800,000  1800000 €",Yes,,
9346,Good,4,295  m² square meters,Installed,4,1,,3240  m²  square meters,3000  m²  square meters,"€ 629,000  629000 €",No,,
9347,To be done up,4,310  m² square meters,Hyper equipped,5,3,No,920  m²  square meters,450  m²  square meters,"€ 1,190,000  1190000 €",No,,
9348,To renovate,3,168  m² square meters,Not installed,6,,,510  m²  square meters,,"€ 125,000  125000 €",,,
9349,Good,2,124  m² square meters,Semi equipped,4,,Yes,83  m²  square meters,,"€ 159,000  159000 €",,,Yes
9350,Good,,130  m² square meters,Installed,3,,No,518  m²  square meters,518  m²  square meters,"€ 269,000  269000 €",,,
9352,To renovate,3,134  m² square meters,Semi equipped,3,1,,338  m²  square meters,,"€ 345,000  345000 €",,,
9353,Just renovated,4,120  m² square meters,Installed,3,2,,567  m²  square meters,,"€ 389,000  389000 €",,,
9354,Good,2,474  m² square meters,,5,5,No,,,"€ 1,495,000  1495000 €",No,,Yes
9355,To renovate,3,135  m² square meters,,3,1,,320  m²  square meters,,"€ 219,000  219000 €",No,Oost- Vlaanderen,Yes
9356,Good,4,188  m² square meters,Installed,4,2,,940  m²  square meters,,"€ 879,000  879000 €",Yes,,Yes
9357,Good,4,209  m² square meters,Installed,4,2,No,994  m²  square meters,,"€ 399,000  399000 €",,,
9358,,3,110  m² square meters,Installed,3,1,,750  m²  square meters,,"€ 390,000  390000 €",,,Yes
9359,Good,4,154  m² square meters,Installed,3,1,No,622  m²  square meters,350  m²  square meters,"€ 349,000  349000 €",No,9120 Beveren met deelgemeenten,
9360,To renovate,,110  m² square meters,,2,,,1151  m²  square meters,,"€ 135,000  135000 €",,,
9361,Good,2,274  m² square meters,Installed,4,,,1025  m²  square meters,500  m²  square meters,"€ 320,000  320000 €",,,
9362,Good,2,1950  m² square meters,,,,No,,,"€ 8,000,000  8000000 €",No,,
9363,Good,2,208  m² square meters,Installed,5,2,,236  m²  square meters,,"€ 398,000  398000 €",,,
9364,To renovate,2,155  m² square meters,Semi equipped,3,2,,258  m²  square meters,120  m²  square meters,"Make an offer starting from  € 275,000  Make an offer starting from  275000 €",,,
9365,Good,4,267  m² square meters,Hyper equipped,4,1,,1674  m²  square meters,1450  m²  square meters,"€ 680,000  680000 €",Yes,JUPRELLE,
9366,As new,,121  m² square meters,Hyper equipped,3,,No,,,"€ 229,000  229000 €",,,Yes
9367,,4,240  m² square meters,Hyper equipped,5,1,,1600  m²  square meters,,"€ 499,000  499000 €",,,
9368,Good,4,162  m² square meters,Hyper equipped,3,1,,540  m²  square meters,540  m²  square meters,"€ 335,000  335000 €",Yes,,
9369,As new,,195  m² square meters,Hyper equipped,4,,No,348  m²  square meters,,"€ 590,000  590000 €",,,
9370,,2,178  m² square meters,,3,1,,260  m²  square meters,110  m²  square meters,"€ 279,500  279500 €",,,
9371,As new,4,280  m² square meters,Hyper equipped,5,1,,3490  m²  square meters,,"€ 910,000  910000 €",Yes,,Yes
9372,To be done up,4,400  m² square meters,Installed,8,5,,4841  m²  square meters,,"€ 795,000  795000 €",,,
9373,Good,3,105  m² square meters,Installed,4,1,No,115  m²  square meters,,"€ 159,000  159000 €",No,Liège,
9374,,,119  m² square meters,Hyper equipped,2,1,,138  m²  square meters,,"€ 350,000  350000 €",,,Yes
9375,To renovate,3,75  m² square meters,Not installed,2,1,No,302  m²  square meters,220  m²  square meters,"€ 70,000  70000 €",,Grand Liège,
9376,Just renovated,3,210  m² square meters,Hyper equipped,3,1,,770  m²  square meters,700  m²  square meters,"€ 628,000  628000 €",No,,
9377,As new,2,176  m² square meters,Hyper equipped,2,1,,,,"€ 695,000  695000 €",,,
9378,To renovate,2,240  m² square meters,Semi equipped,5,2,No,671  m²  square meters,550  m²  square meters,"€ 449,000  449000 €",,,
9379,As new,2,,Installed,2,1,No,105  m²  square meters,55  m²  square meters,"€ 359,500  359500 €",No,,
9380,To be done up,4,252  m² square meters,Hyper equipped,5,2,No,786  m²  square meters,450  m²  square meters,"€ 695,000  695000 €",,Quartier Joli-Bois,
9381,As new,2,178  m² square meters,USA semi equipped,3,2,No,150  m²  square meters,100  m²  square meters,"€ 649,000  649000 €",No,,Yes
9382,Good,2,400  m² square meters,,8,4,No,2651  m²  square meters,,"Make an offer starting from  € 400,000  Make an offer starting from  400000 €",No,,Yes
9383,,4,192  m² square meters,Installed,4,1,No,512  m²  square meters,,"€ 400,000  400000 €",,,
9384,Just renovated,3,182  m² square meters,Hyper equipped,3,2,,400  m²  square meters,164  m²  square meters,"€ 249,000  249000 €",No,,
9385,To be done up,2,,,5,2,,555  m²  square meters,,,,,
9386,Good,2,174  m² square meters,Installed,4,1,,190  m²  square meters,,"Make an offer starting from  € 185,000  Make an offer starting from  185000 €",,,Yes
9387,Good,3,166  m² square meters,Installed,4,,No,1159  m²  square meters,690  m²  square meters,"€ 339,000  339000 €",,,
9388,Good,2,308  m² square meters,,6,,,193  m²  square meters,90  m²  square meters,"€ 375,000  375000 €",,,
9389,As new,4,240  m² square meters,Installed,4,2,,4083  m²  square meters,2000  m²  square meters,"€ 550,000  550000 €",,,
9390,To be done up,4,180  m² square meters,,2,1,,623  m²  square meters,623  m²  square meters,"€ 435,000  435000 €",,,
9391,Good,2,193  m² square meters,,3,1,No,267  m²  square meters,,"€ 175,000  175000 €",No,,
